time,price
09:00 AM,0.03483333333333333
10:00 AM,0.07566666666666667
11:00 AM,0.028083333333333335
12:00 PM,0.034083333333333334
01:00 PM,0.11033333333333334
02:00 PM,0.030500000000000003
03:00 PM,0.04458333333333333
04:00 PM,0.06808333333333333
05:00 PM,0.0605
06:00 PM,0.05708333333333333
07:00 PM,0.04858333333333333
08:00 PM,0.051333333333333335
09:00 PM,0.048999999999999995
10:00 PM,0.03758333333333333
11:00 PM,0.03183333333333334
12:00 AM,0.05008333333333334
01:00 AM,0.026416666666666665
02:00 AM,0.025083333333333332
03:00 AM,0.022166666666666668
04:00 AM,0.0295
05:00 AM,0.04666666666666667
06:00 AM,0.055749999999999994
07:00 AM,0.025500000000000002
08:00 AM,0.034
